Course Name,Role,Last Name,First Name,Affiliation,Location,Position at Affiliation,Notes,,
Embryology,Teaching Assistant,Iulianella,Angelo,Dalhousie University,,,,,
Embryology,Teaching Assistant,Kaltenbach,Stacy,Duke University,,,,,
Embryology,Teaching Assistant,Kucenas,Sarah,University of Virginia,,,,,
Embryology,Teaching Assistant,Linn,Stephanie,University of Michigan,,,,,
Embryology,Teaching Assistant,Lyons,Deirdre,Duke University,,,,,
Embryology,Teaching Assistant,Matus,David,Duke University,,,,,
Embryology,Teaching Assistant,Meyer,Neva,University of Hawaii,,,,,
Embryology,Teaching Assistant,Ober,Elke,National Institute for Medical Research,,,,,
Embryology,Teaching Assistant,Pang,Kevin,University of Hawaii,,,,,
Embryology,Teaching Assistant,Ragkousi,Katerina,University of Arizona,,,,,
Embryology,Teaching Assistant,Wills,Andrea,Stanford University,,,,,
Embryology,Course Assistant,Delagnes,Elise,"University of California, Berkeley",,,,,
Embryology,Course Assistant,Dinwiddie,April,Yale University,,,,,
Embryology,Course Assistant,Rollins,Hannah,"University of California, Berkeley",,,,,
Embryology,Student,Bagherie-Lachidan,Mazdak,Mount Sinai Hospital,,,,,
Embryology,Student,Bickley,Sorrel,The National Institute for Medical Research,,,,,
Embryology,Student,Bonilla,Sylvia,Purdue University,,,,,
Embryology,Student,Cao,Xinwei,St. Jude Children's Research Hospital,,,,,
Embryology,Student,Carag Krieger,Christine,University of Pennsylvania,,,,,
Embryology,Student,Castillo,Hozana,Sao Paulo University,,,,,
Embryology,Student,Chung,Mei-I,University of Texas at Austin,,,,,
Embryology,Student,Clanton,Joshua,Vanderbilt University,,,,,
Embryology,Student,Denker,Elsa,UniResearch / University of Bergen,,,,,
Embryology,Student,Elliott,Sarah,University of Utah,,,,,
Embryology,Student,Franz,Anna,Sir William Dunn School of Pathology,,,,,
Embryology,Student,Grosse,Ann,University of Michigan,,,,,
Embryology,Student,Hiebert,Laurel,University of Oregon,,,,,
Embryology,Student,Hohagen,Jennifer,Georg-August-University of Goettingen,,,,,
Embryology,Student,Kingsley,Evan,Harvard University,,,,,
Embryology,Student,Konopova,Barbora,University of Cambridge,,,,,
Embryology,Student,Liu,Qinwen,University of Maryland at College Park,,,,,
Embryology,Student,Merico,Valeria,University of Pavia,,,,,
Embryology,Student,O'Connor,Amber,University of Alabama at Birmingham,,,,,
Embryology,Student,Powell,Davalyn,University of Colorado at Denver,,,,,
Embryology,Student,Soukup,Vladimir,Charles University,,,,,
Embryology,Student,Staller,Max,Harvard Medical School,,,,,
Embryology,Student,Tarver,James,University of Bristol,,,,,
Embryology,Student,Ueda,Nobuo,University of Queensland,,,,,
Frontiers in Reproduction,Course Director,Ascoli,Mario,The University of Iowa,,,May 1-June 13,,
Frontiers in Reproduction,Course Director,Florman,Harvey,University of Massachusetts Medical School,,,,,
Frontiers in Reproduction,Course Director,Heckert,Leslie,University of Kansas Medical Center,,,,,
Frontiers in Reproduction,Course Director,Sutherland,Ann,University of Virginia,,,,,
Frontiers in Reproduction,Faculty,Albertini,David,University of Kansas Medical Center,,,,,
Frontiers in Reproduction,Faculty,Broaddus,Russell,M.D. Anderson Cancer Center,,,,,
Frontiers in Reproduction,Faculty,Brown,Jackson,University of Birmingham,,,,,
Frontiers in Reproduction,Faculty,Camper,Sally,University of Michigan,,,,,
