Course Name,Course URI
Embryology 1952,http://history.archives.mbl.edu/concepts/course/c84a7983-0acc-4686-aeff-915592e46277
Biomedical Informatics Ii 2005,http://history.archives.mbl.edu/concepts/course/290c2f11-70ed-4893-b58e-d8a4e69fded1
Nasa Planetary Biology Internship Program 2003,http://history.archives.mbl.edu/concepts/course/33d6e952-f34e-45b7-9352-1f354a72535a
Three Afternoons Toward Better Scientific Writing 1982,http://history.archives.mbl.edu/concepts/course/984b581c-7205-482d-a4b0-9f3debbecf6f
Measurement And Control Of Chemical Stimuli 1990,http://history.archives.mbl.edu/concepts/course/524b2e38-df45-48be-ae14-faae570ddde9
Biomedical Informatics 1 2008,http://history.archives.mbl.edu/concepts/course/2760b53e-bf45-40f0-b4b8-a0928a547c65
History Of Biology: Modern Evolutionary Biology 1991,http://history.archives.mbl.edu/concepts/course/119d5179-7232-45f9-b4fc-8aede2147fc5
Basic Ecology And Management Of Resources 1981,http://history.archives.mbl.edu/concepts/course/194eb754-0bf7-42f4-ac30-af465cf43612
Marine Ecology 1973,http://history.archives.mbl.edu/concepts/course/0943571f-4cf5-428b-9c96-d663e3117158
Medical Informatics: Fall Session 2004,http://history.archives.mbl.edu/concepts/course/4f07ac63-38b1-4f4b-9730-49c19d612a24
Cellular Neurobiology In The Leech 1989,http://history.archives.mbl.edu/concepts/course/47e28b51-95b2-45f4-81cd-71e8c27c800b
Cellular Neurobiology In The Leech 1984,http://history.archives.mbl.edu/concepts/course/a4d47e0a-26ab-4de0-9205-d440d06137e1
Cellular Neurobiology In The Leech 1985,http://history.archives.mbl.edu/concepts/course/167b1cb8-5260-4a55-9ee4-64c03431b8ab
Cellular Neurobiology In The Leech 1987,http://history.archives.mbl.edu/concepts/course/5cabf795-cb59-4497-ba6a-d90bc75db378
Pathogenesis Of Neuroimmunologic Diseases 2007,http://history.archives.mbl.edu/concepts/course/51282b71-a96b-4c21-a9a2-470484a3b1ac
Pathogenesis Of Neuroimmunologic Diseases 2005,http://history.archives.mbl.edu/concepts/course/cc751818-6e36-4a7b-98c8-f9f76c23d53e
