Institution,Institution URI
Grossmont Healthcare District,http://history.archives.mbl.edu/concepts/institution/ff46aec3-c538-4c5a-8bfc-e311f18f4311
Broad Institute Of Harvard And Mit,http://history.archives.mbl.edu/concepts/institution/ee21e89e-a993-4b41-b460-d278282a2763
La Sapienza University Of Rome,http://history.archives.mbl.edu/concepts/institution/d5654322-eb7f-460d-b339-8a2fc2243810
National Institute Of Mental Health,http://history.archives.mbl.edu/concepts/institution/f5cf8467-1645-4339-acf7-ea5a4486abd4
Creighton University College For Medicine,http://history.archives.mbl.edu/concepts/institution/a7d32230-3232-44df-a827-6463e52a401b
University Of Bremen,http://history.archives.mbl.edu/concepts/institution/0e7b660b-3197-45a9-8c53-e608656ca325
Family Health Council,http://history.archives.mbl.edu/concepts/institution/f9da17d1-1b91-45ca-b703-eb99d167e046
Hunter College,http://history.archives.mbl.edu/concepts/institution/a7b38d69-e216-41a6-9e84-b72d53fc3ec3
Wallenberg Lab For Cardiovascular Research,http://history.archives.mbl.edu/concepts/institution/5f86c148-f4c9-4304-8def-009b3d484343
Univ Of Massachusetts Amherst,http://history.archives.mbl.edu/concepts/institution/e70b68d5-c819-4ac9-91e0-7d277097f9f4
Sofia Instituto Gulbenkian De Ciencia,http://history.archives.mbl.edu/concepts/institution/700b9262-431f-47fd-982c-a70a96549870
Christ Hospital,http://history.archives.mbl.edu/concepts/institution/edb874be-f693-4197-afc0-275882aeadc2
Swedish Hospital Medical Center,http://history.archives.mbl.edu/concepts/institution/bf31ac4e-b24d-48ac-9553-b2c57861f2f4
Marthas Vineyard Hospital,http://history.archives.mbl.edu/concepts/institution/ca09b144-32d1-4359-a2ca-43f8d46ca382
Department Of Botany Cornell University,http://history.archives.mbl.edu/concepts/institution/c71977a0-adf7-4f05-890a-c1d00de374c6
Rosetta Inpharmatics,http://history.archives.mbl.edu/concepts/institution/33580caa-f3df-4aa1-b760-2f66562f18c7
Mdb,http://history.archives.mbl.edu/concepts/institution/5bb2d33c-dc94-42b3-8e72-c51f052ca54b
Theodore Roosevelt High School,http://history.archives.mbl.edu/concepts/institution/914b9b2e-330b-4be4-83d5-fc4c0ebb783c
Princess Margaret Hospital,http://history.archives.mbl.edu/concepts/institution/914f8376-34e2-4ae2-abc7-4bea92456332
Hampden Sydney College,http://history.archives.mbl.edu/concepts/institution/9def3a10-601d-415f-acb7-f97e2e1e91a5
Harvard University School Of Public Health,http://history.archives.mbl.edu/concepts/institution/0d98b605-805d-4781-b10a-c0d453f2c1d4
Unisense Fertilitech,http://history.archives.mbl.edu/concepts/institution/b466ea5d-4ac2-478f-960e-589b5d286ad3
New York University Dental School,http://history.archives.mbl.edu/concepts/institution/a6ecbb31-48d7-4b01-a446-b56c2573d664
Eastern Kentucky University,http://history.archives.mbl.edu/concepts/institution/a1641451-71f5-4a59-b40c-eb4d08952193
Los Alamos National Laboratory,http://history.archives.mbl.edu/concepts/institution/d84da2ff-6103-4c8e-bd2c-c1056c441f4b
West Philadelphia High School,http://history.archives.mbl.edu/concepts/institution/16b21fea-5c16-4c68-8be1-2ff5406f9692
Chinese University Of Hong Kong,http://history.archives.mbl.edu/concepts/institution/d30f5b26-c65a-40c0-a1fb-52ec095e4815
Henry Phipps Institute University Of Pennsylvania,http://history.archives.mbl.edu/concepts/institution/f2b86088-8293-45c5-baff-41cc0ebba07a
Mpi Fur Medical Research,http://history.archives.mbl.edu/concepts/institution/5c0eb2f5-f724-471a-9344-316776e23445
Charles R Drew University Library,http://history.archives.mbl.edu/concepts/institution/049c7b68-5aea-4a24-90b7-d5e795bf0e6f
Burroughs Wellcome,http://history.archives.mbl.edu/concepts/institution/45461c4b-ce9a-4b0f-b8c1-7cd4aa924926
Mills College,http://history.archives.mbl.edu/concepts/institution/754bbb13-3b8d-4f3b-9fa6-ca532bc6d227
Williamstown High School,http://history.archives.mbl.edu/concepts/institution/a7a20d2d-5f5a-4128-bcb0-1e59a32ca7f0
Westbrook Junior College,http://history.archives.mbl.edu/concepts/institution/73bc818f-163d-4a5d-965b-f4441c8bd367
