Course Group,Course Group URI
Optical Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/d1bf2f09-a683-47e9-87f0-223d641fc6af
Advances In Mariculture,http://history.archives.mbl.edu/concepts/coursegroup/97f10614-e525-4d8c-9547-22caf5d357a2
Physiology: Cellular & Molecular Biology,http://history.archives.mbl.edu/concepts/coursegroup/79a3baff-84c5-4dc6-9751-47c8761ad274
Energetics And Transport In Aquatic Plants,http://history.archives.mbl.edu/concepts/coursegroup/abd89134-ce77-4034-ab02-406e72e769a9
Analytical And Quantitative Light Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/fce4c5e2-a169-4f21-9336-33071fde9beb
Year-In-Science (1975-1976),http://history.archives.mbl.edu/concepts/coursegroup/0ebc2e55-44f8-47d4-97d8-d6e6eaf5682a
Dna Methodology Workshops,http://history.archives.mbl.edu/concepts/coursegroup/fd5819cc-1502-430a-b4ba-7528a2af66f4
Fertilization And Gamete Physiology Research Training Program,http://history.archives.mbl.edu/concepts/coursegroup/8335f379-b55a-493b-94e1-f764b4ddb421
Botany,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4
Neuroinformatics,http://history.archives.mbl.edu/concepts/coursegroup/93e16792-6947-4950-891d-4418e82bc582
Gene Regulatory Networks,http://history.archives.mbl.edu/concepts/coursegroup/439641b3-5d51-4bea-b852-5d4a2e13ba74
"Summer Program In Neuroscience, Ethics & Survival",http://history.archives.mbl.edu/concepts/coursegroup/e55691ef-c2da-4338-aa39-550ad3fed32e
Philosophical Aspects Of Biology And Allied Sciences,http://history.archives.mbl.edu/concepts/coursegroup/29f6b533-e7aa-49da-9b05-af23db5ccca5
Biology Of Parasitism,http://history.archives.mbl.edu/concepts/coursegroup/1cc9f05c-1e70-4d21-bd11-0f942ce6a01e
Physiology,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524
Electron Microscopy In The Biological Sciences,http://history.archives.mbl.edu/concepts/coursegroup/95834617-f728-4847-98d6-352c80ae7c7e
Biological Electron Microscopy For Technicians,http://history.archives.mbl.edu/concepts/coursegroup/cba68dd2-be1a-43d4-88ad-f2ffd5412c1a
Nasa Planetary Biology Internship Program,http://history.archives.mbl.edu/concepts/coursegroup/36a59ad3-4d4a-4087-a359-fcd997ac98ce
Neural Systems And Behavior,http://history.archives.mbl.edu/concepts/coursegroup/2e6751b5-810c-469c-a390-b28df86a009f
Modeling Of Biological Systems,http://history.archives.mbl.edu/concepts/coursegroup/f49dc96b-d76e-49df-96d0-b6a92f8b4a33
Neurobiology,http://history.archives.mbl.edu/concepts/coursegroup/cfad56e2-02d5-457c-bcaf-f121df755b75
Molecular Mycology,http://history.archives.mbl.edu/concepts/coursegroup/e0dcd645-ffd5-4d64-8f62-933f45ab26df
Cellular Neurobiology In The Leech,http://history.archives.mbl.edu/concepts/coursegroup/14c370cc-04e0-4447-9ff2-0f6ca26e787d
"Analytical And Quantitative Light Microscopy In Biology, Medicine And Materials Science",http://history.archives.mbl.edu/concepts/coursegroup/db2311a9-fb88-4154-9570-1e7b1895c31a
Teachers' Workshop,http://history.archives.mbl.edu/concepts/coursegroup/2b289169-b6ac-44e1-8a69-8ad9a6e6a4cf
Rapid Measurement Of Neurotransmitter Signals In The Central Nervous System,http://history.archives.mbl.edu/concepts/coursegroup/cf18646b-c848-48ec-8f46-c24bc89a026d
Microbial Diversity,http://history.archives.mbl.edu/concepts/coursegroup/5e4e86d4-bcdd-4766-a5d6-c40226a65bd7
Embryology,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc
Nature Study,http://history.archives.mbl.edu/concepts/coursegroup/9db2a133-3e9d-4d6e-a923-ab12e2ec840b
Bump Neurobiology,http://history.archives.mbl.edu/concepts/coursegroup/c2c69b4f-7c22-4238-8714-606dc4f23c1a
Three Afternoons Toward Better Scientific Writing,http://history.archives.mbl.edu/concepts/coursegroup/cb2a152c-8cde-4c06-8614-c943a3031932
Molecular Biology Of Aging,http://history.archives.mbl.edu/concepts/coursegroup/7c1f7d65-736f-4e2c-a727-3e7d2cbe1a7b
Marine Ecology,http://history.archives.mbl.edu/concepts/coursegroup/2ce25fe4-7ece-4c83-82c6-7f58aaa2050b
Biophysics Of Neural Function,http://history.archives.mbl.edu/concepts/coursegroup/c4eb926b-85b5-47a7-818f-0d5483230535
Methods In Computational Neuroscience,http://history.archives.mbl.edu/concepts/coursegroup/850f813c-6b5e-47eb-9185-8d814dafa7e7
Biology Of The Inner Ear,http://history.archives.mbl.edu/concepts/coursegroup/56c31d57-e813-4944-b2af-5cf43a4aa225
Biomedical Informatics,http://history.archives.mbl.edu/concepts/coursegroup/9a59770a-b03a-4fdc-ab1a-f46773ba4f54
Computational Image Analysis In Cellular And Developmental Biology,http://history.archives.mbl.edu/concepts/coursegroup/5be82653-584c-4e42-9303-2540f17ba0c5
Rapid Electrochemical Measurements,http://history.archives.mbl.edu/concepts/coursegroup/e1c91a39-6053-4baf-ae9e-be3a735b15f6
Invertebrate Morphology,http://history.archives.mbl.edu/concepts/coursegroup/83afd34e-a651-4200-b15e-c777f2633775
Boston University Marine Program,http://history.archives.mbl.edu/concepts/coursegroup/338f0ed5-0485-41fe-982b-22265d9443c8
Neural Development And Genetics Of Zebrafish,http://history.archives.mbl.edu/concepts/coursegroup/eaf0639f-30a5-46d8-9fdb-e1a0d94c0c9b
Microinjection Techniques In Cell Biology,http://history.archives.mbl.edu/concepts/coursegroup/0ecfd738-204b-432b-9748-ff2f91ff8baa
Comparative Pathology Of Marine Invertebrates,http://history.archives.mbl.edu/concepts/coursegroup/5433fad7-d552-47fc-9343-887bca7c226a
Research Program In Microbial Ecology,http://history.archives.mbl.edu/concepts/coursegroup/2b1474b1-720e-47d7-b721-99554c65af19
Research Program In Reproductive Biology,http://history.archives.mbl.edu/concepts/coursegroup/95f4b2e4-5874-4469-bdd5-979f7215818b
Quantitative Analysis Of Electron Micrographs,http://history.archives.mbl.edu/concepts/coursegroup/237c91bc-a6de-4aed-8754-35d5bbec822b
Comparative Physiology,http://history.archives.mbl.edu/concepts/coursegroup/45d9744b-eebd-4e78-821d-8be4d2ace873
"Electron Probe X-Ray Microanalysis In Biology, Medicine, And Materials Sciences",http://history.archives.mbl.edu/concepts/coursegroup/097d618b-fa16-4b21-b892-934694754cb9
