Location,Location URI
"seoul, korea",http://history.archives.mbl.edu/concepts/location/c05a1b33-0ebf-4fb3-ab9e-c6a9474361d2
"placentia, ca",http://history.archives.mbl.edu/concepts/location/5cb87ee8-c9d7-46e1-b2d4-50ef249aed56
roumania,http://history.archives.mbl.edu/concepts/location/ff5128ec-0283-440f-a3a5-557326913be4
"memphis, tn",http://history.archives.mbl.edu/concepts/location/c03605cf-e175-4291-9e38-eb902a9fe9e3
iceland,http://history.archives.mbl.edu/concepts/location/1f41f916-0268-439b-ae40-7b5beaaecfc3
"middlebury, vt",http://history.archives.mbl.edu/concepts/location/e8cc261e-556e-4cc8-a42d-17f21a019239
"2803 third avenue, new york, ny",http://history.archives.mbl.edu/concepts/location/60d6e0e3-2c00-4ec7-817c-8a8414ce16bf
germany,http://history.archives.mbl.edu/concepts/location/7fbbae98-bc2c-4a0d-8393-f34a6e2264f9
"raleigh, nc",http://history.archives.mbl.edu/concepts/location/0c2bbf30-ac00-4df1-bc92-ba02eb7b78cf
medical,http://history.archives.mbl.edu/concepts/location/7ec11170-62da-4e83-b321-ab5e219a82f4
"allegheny, pa",http://history.archives.mbl.edu/concepts/location/2db9b3d3-d885-4f1c-b358-6f492a66a77b
"princeton, nj",http://history.archives.mbl.edu/concepts/location/d6d86ec5-0621-4b1a-809b-99783b877d8e
"cochituate, ma",http://history.archives.mbl.edu/concepts/location/e8422114-64ca-4581-b487-247c47f90030
"warsaw, ny",http://history.archives.mbl.edu/concepts/location/bd839c88-9df1-471f-a1fa-49fd1b7f0d45
"troy, ny",http://history.archives.mbl.edu/concepts/location/3d147ffa-a063-4e2b-b16f-a51f254d66a2
swtizerland,http://history.archives.mbl.edu/concepts/location/6fc661eb-f26f-4c07-8b10-09f4c576a3e1
"frankfurt, germany",http://history.archives.mbl.edu/concepts/location/d9e01c79-09ad-48c2-9b35-559fecde56fa
hungary,http://history.archives.mbl.edu/concepts/location/69aa617b-156b-441c-b4fc-83230d96dfb8
"prague, czechoslovakia",http://history.archives.mbl.edu/concepts/location/b22bb6ed-0043-4847-ac51-0dedc324dd1c
"sepulveda, ca",http://history.archives.mbl.edu/concepts/location/e9a2872b-3e68-41d6-9dc0-88cd22b05f36
"canton, oh",http://history.archives.mbl.edu/concepts/location/30d4f61f-9a49-404b-bb7e-aaf7778c4f94
university of buenos aires,http://history.archives.mbl.edu/concepts/location/183e9e7c-f7b3-4cf6-a697-b80065ad3ad1
"frederica, de",http://history.archives.mbl.edu/concepts/location/f13bc207-03a3-4872-9511-a3df7d091289
"wurzburg, germany",http://history.archives.mbl.edu/concepts/location/8b3df0d0-7f5e-426a-a888-9df0cfeea2b8
new york city,http://history.archives.mbl.edu/concepts/location/f05e6ea6-2706-46d2-8a8f-c035d9825eba
de,http://history.archives.mbl.edu/concepts/location/476d839a-840b-45b9-a959-709cce984249
dc,http://history.archives.mbl.edu/concepts/location/d8604aee-e677-4146-90e4-1cb9a1ef8b48
people's republic of china,http://history.archives.mbl.edu/concepts/location/aa722fc3-5aa2-4bce-9d3a-975c65994e07
"annandale-on-hudson, ny",http://history.archives.mbl.edu/concepts/location/e783879b-7e22-4c93-8e30-53578ccc27e5
st. louis,http://history.archives.mbl.edu/concepts/location/884e2083-8b4f-4d11-9330-8004202680e7
"485 central park west, new york, ny",http://history.archives.mbl.edu/concepts/location/413b1c9f-dae2-417c-b6d4-83ee029664e8
"brielle, nj",http://history.archives.mbl.edu/concepts/location/9e8d149c-926f-4c2f-a4a9-e6fec2215f40
nus,http://history.archives.mbl.edu/concepts/location/ef806848-7e1d-4182-b45a-3d820ad229d6
"northfield, ma",http://history.archives.mbl.edu/concepts/location/24b2c14e-c004-44d4-8ac6-86ed74a45ff6
"northfield, mn",http://history.archives.mbl.edu/concepts/location/5d0e5dd0-36bd-4a8c-9c0a-c717382983eb
brazil,http://history.archives.mbl.edu/concepts/location/c4bcc848-21de-47a7-85d2-facce1384ede
"fredericksburg, va",http://history.archives.mbl.edu/concepts/location/7fcc1bfe-ee02-41e8-8256-dd6f5cf145f3
"vineyard haven, ma",http://history.archives.mbl.edu/concepts/location/0f426b64-46d0-4efd-a875-3367c9304030
"phoenix, az",http://history.archives.mbl.edu/concepts/location/3ae9e110-562a-4dc0-8128-1877dc20a5ee
