Year,Course URI,Course Group URI,Course Group,Course Name
1929,http://history.archives.mbl.edu/concepts/course/8075c216-9e7b-44ec-8abb-50e81d3c0d20,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1929
1929,http://history.archives.mbl.edu/concepts/course/43162f00-1b69-4a99-bd1b-a8246126800e,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1929
1929,http://history.archives.mbl.edu/concepts/course/c189a089-5b6f-453e-b050-4efbc95bc07b,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1929
1930,http://history.archives.mbl.edu/concepts/course/9c8328dc-cd8e-41e2-bbae-fcf999f547ee,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1930
1930,http://history.archives.mbl.edu/concepts/course/0c0850db-e15b-48a9-9046-63e706517e23,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1930
1930,http://history.archives.mbl.edu/concepts/course/a5a5b694-44cf-4e57-b052-7a17c005ca6e,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1930
1930,http://history.archives.mbl.edu/concepts/course/c492d1d2-1314-4759-84ea-64ad3ef24c48,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1930
1930,http://history.archives.mbl.edu/concepts/course/74afb068-52ee-4191-b227-a406548663d0,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1930
1931,http://history.archives.mbl.edu/concepts/course/e21fc115-45de-459e-87b0-256fba00c384,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1931
1931,http://history.archives.mbl.edu/concepts/course/7dd9916d-711c-4968-9135-f2be83d16725,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1931
